nombre,codigo,idE
correcaminos:celaya,926,649550
rosario central:huracan,531,648573
valour fc:hfx wanderers fc,927,649551
one knoxville sc:richmond,928,649552
depor cuenca:univ catolica (ecu),929,649556
regatas:ceara,584,648605
atletico go:ituano,585,648606
all boys:estudiantes rio cuarto,930,649557
municipal grecia:santos de guapiles,931,649555
atl junior:deportivo cali,932,649559
mazatlan fc:club america,600,648841
fc ryukyu:kamatamare sanuki,937,649561
sangju sangmu:bucheon,936,649562
busan ipark:cheonan city fc,935,649563
omiya:yamaguchi,938,649568
shimizu:iwata,939,649569
tokyo verdy:oita trinita,940,649570
jeonnam dragons:ansan,941,649564
seongnam:chungnam asan fc,942,649567
v-varen nagasaki:fujieda myfc,945,649571
mfk chrudim:opava,946,649573
vyskov:viktoria zizkov,947,649575
prostejov:sk lisen,948,649578
sydney:brisbane roar,953,649581
ural:lokomotiv moscow,954,649579
gimpo citizen:anyang,955,649572
seoul e-land:gyeongnam,956,649574
nomme kalju:parnu vaprus,957,649576
bfc daugavpils:valmiera fk,959,649580
nacional madeira:oliveirense,960,649588
dnipro-1:veres rivne,962,649589
pendikspor:sivasspor,485,648542
bandirmaspor:corum belediyespor,1710,649447
hutnik krakow:sandecja nowy sacz,964,649583
radomiak radom:lks lodz,963,649591
manisa buyuksehir belediyespor:sakaryaspor,965,649594
mezokovesd-zsory:zalaegerszeg,966,649584
greuther furth:hansa rostock,433,648492
wehen:hamburg,434,648493
magdeburg:karlsruher,435,648494
kokkola:jyvaskyla,983,649603
jaro:kapylan pallo,982,649604
salpa:japs,984,649605
altglienicke:berliner ak 07,985,649606
carl zeiss jena:hansa rostock ii,987,649608
greifswalder fc:erfurt,986,649609
hamburg (am):blau-weiss lohne,988,649610
petrolul ploiesti:uta arad,990,649611
pfc sochi:zenit,991,649612
orebro syrianska if:taby fk,1002,649622
tvaakers if:falkenberg,1003,649623
luton:tottenham,201,648424
sunderland:middlesbrough,615,648856
jk tallinna kalev:levadia tallinn,1005,649625
oxford:bristol rovers,1006,649629
cska sofia:levski sofia,1013,649626
cadiz:girona,227,648453
cosenza:calcio lecco 1912,441,648499
reggiana:bari,442,648501
modena:palermo,443,648502
sudtirol:catanzaro,444,648503
qabala:sabayil,1019,649627
1860 munich:dynamo dresden,1014,649630
arminia bielefeld:dortmund (am),1015,649631
duisburg:unterhaching,1016,649632
