nombre
astana
viktoria plzen
smouha
al mokaw al arab
altyn asyr fc
fc ravshan
esteghlal khuz.
paykan fc
ironi tiberias
hapoel nazareth
sc kfar qasem
ihud bnei shefa-amr
hapoel kiryat shmona
maccabi yafo kabilyo
hapoel umm al fahm
hapoel afula
maccabi herzliya
hapoel rishon letzion
usd recanatese 1923
vis pesaro 1898
spal 2013
usd sestri levante 1919
backa topola
olympiacos
freiburg
west ham
aek athens
ajax
marseille
brighton
aris limassol
rangers
betis
sparta prague
rakow czestochowa
sturm graz
sporting lisbon
atalanta
ki klaksvik
lille
ki klaksvik
lille
olimpija ljublj
slovan bratislava
gent
maccabi tel aviv
breidablik
zoria luhansk
bodo glimt
club brugge
besiktas
lugano
fc ballkani
dinamo zagreb
pitea if
umea
cfr cluj
acs sepsi
fc andorra
zaragoza
mirandes
eibar
l entregu cf
club marino de luanco
sekhukhune united
golden arrows
al ittifaq
al fateh
delfino pescara 1936
fermana
rimini
gubbio
hacken
qarabagh
molde
leverkusen
slavia prague
sheriff tiraspol
roma
servette
maccabi haifa
panathinaikos
villarreal
rennes
toulouse
lask linz
liverpool
union saint-gilloise
spartak trnava
fenerbahce
nordsjaelland
ludogorets
aberdeen
helsinki
paok
eintracht frankfurt
cukaricki
genk
fiorentina
ferencvaros
az alkmaar
legia warsaw
aston villa
zrinjski
maghreb tetouan
fath rabat
atletico palmaflor vinto
vaca diez
cartagena
espanyol
racing ferrol
amorebieta
tigres fc
dep quindio
chapecoense
abc natal
indep medellin
depor cucuta
racing montevideo
nacional
tapatio
cimarrones
cuniburo fc
depor macara
guabira
blooming
palmeiras
boca juniors
cancun fc
univ. guadalajara
alianza petrolera
millonarios
alajuelense
cartagines
tepatitlan
club atletico la paz
ps tira
persis solo
rans nusantara
psis semarang
arema indonesia (isl)
pusamania borneo fc
dewa united
pss sleman
lamphun warrior
ratchaburi fc
fc polissya
dynamo kiev
uthai thani fc
port fc
al ittihad al sakand
el gouna
al ahli sedab
salalah sc
al-khaboora
al etihad
al bataeh
al khaleej khor fakkan
ittihad kalba
hatta
bunyodkor
qizilqum
havadar sc
foolad khuzestan
zira
pfk turan tovuz
fk imt novi beograd
radnik surdulica
punjab fc
northeast utd
cs constantine
js saoura
mc alger
es setif
riga
tukums 2000/tss
ilves
oulu
u craiova 1948 sa
hermanstadt
al nassr (riyadh)
abha club
brno
pribram
ruzomberok
zlate moravce
al hala
al-najma manama
al shabbab (manama)
al hidd
velez mostar
nk posusje
shakhtyor soligorsk
fc smorgon
pharco fc
ceramica cleopatra
nea salamis
karmiotissa polemidion
slaven belupo
nk varazdin sn
stal stalowa wola
lech ii poznan
lks lodz ii
mkp kotwica kolobrzeg
chrobry glogow
odra opole
korona kielce
warta poznan
radnicki nis
napredak krusevac
banni yas
al wahda scc (uae)
ibri
al-shabab
amstetten
ried
leoben
lafnitz
sv horn
kapfenberg
sv stripfing
st polten
empoli
udinese
kaiserslautern
hannover 96
fortuna dusseldorf
osnabruck
fredericia
sonderjyske
alanyaspor
centone karagumruk
adana demirspor
trabzonspor
silkeborg
lyngby
allerheiligen
ask voitsberg
union volcklamarkt
wac (a)
weiz
pasching-lask jr
sandhausen
ulm 1846
asv drassburg
twl elektra
kufstein
dornbirner sv
beroe
lokomotiv sofia
b 93 kopenhagen
hillerod
babelsberg
viktoria berlin
horsens
aalborg
fc eilenburg
cottbus
weiche flensburg
fc phonix lubeck
lokomotive leipzig
herta berlin (am)
hassleholms if
ifk hassleholm
santa clara
academico viseu
husqvarna
ik tord
hammarby talang
ifk stocksund
vanersborgs if
ljungskile
kocaelispor
erzurum
austria wien (am)
sr wgfm donaufeld
fc marcfeld donauauen
neusiedl 1919
rapid wien (am)
wiener sportklub
traiskirchen
sv oberwart
dijon
marignane us
fc goal
chateauroux
martigues
le mans uc 72
nimes
chamois niortais
fortuna koln
aachen
orleans
nancy
sas epinal
fc rouen
red star paris
fc villefranche-beaujolais
sochaux
avranches
karlskrona
rappe goif
nyon
fc baden
schaffhausen
vaduz
volendam
utrecht
biskra
